epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,3257.62,1.10586,0.97462,1.27014,0.85137,0.71066,0.78805,0.50257,1.15961,0.72906,1.19687,0.000340007,0.000340007,0.000340007
134,3281.52,1.09062,0.95963,1.26785,0.86119,0.70613,0.78991,0.50937,1.13741,0.72769,1.18324,0.000335007,0.000335007,0.000335007
135,3305.41,1.08814,0.96359,1.26404,0.84876,0.71037,0.78798,0.50413,1.15824,0.72719,1.19466,0.000330007,0.000330007,0.000330007
136,3329.19,1.0886,0.95217,1.25871,0.86082,0.69948,0.78111,0.50023,1.16557,0.73966,1.20196,0.000325007,0.000325007,0.000325007
137,3353.07,1.08382,0.94925,1.25642,0.86191,0.69766,0.78491,0.50361,1.15864,0.73384,1.20072,0.000320007,0.000320007,0.000320007
138,3376.83,1.06903,0.93274,1.25538,0.863,0.69858,0.78809,0.50608,1.15799,0.72857,1.1948,0.000315007,0.000315007,0.000315007
139,3400.68,1.08099,0.95854,1.2595,0.86084,0.70275,0.79027,0.50559,1.16079,0.72598,1.20258,0.000310007,0.000310007,0.000310007
140,3424.27,1.08749,0.95466,1.26004,0.86993,0.69438,0.7842,0.50493,1.15968,0.72298,1.20018,0.000305007,0.000305007,0.000305007
141,3448.06,1.08339,0.94435,1.25745,0.85953,0.71028,0.78926,0.50788,1.14517,0.72143,1.19038,0.000300007,0.000300007,0.000300007
142,3471.81,1.08554,0.94924,1.26482,0.86003,0.69595,0.78191,0.4992,1.17313,0.745,1.21135,0.000295007,0.000295007,0.000295007
143,3495.52,1.07631,0.93196,1.25449,0.8549,0.7086,0.78879,0.51255,1.14202,0.7181,1.18721,0.000290007,0.000290007,0.000290007
144,3519.41,1.07647,0.9347,1.25023,0.87506,0.70449,0.79158,0.51206,1.14606,0.71777,1.1871,0.000285007,0.000285007,0.000285007
145,3543.24,1.08158,0.94634,1.25372,0.85528,0.7161,0.79149,0.51164,1.14319,0.71439,1.18544,0.000280007,0.000280007,0.000280007
146,3566.98,1.06168,0.91835,1.24058,0.86272,0.70947,0.79116,0.51155,1.14809,0.7173,1.19218,0.000275007,0.000275007,0.000275007
147,3591.22,1.07257,0.93337,1.25496,0.86354,0.71093,0.79157,0.51251,1.15339,0.71408,1.19331,0.000270007,0.000270007,0.000270007
148,3614.9,1.0649,0.91352,1.24405,0.8606,0.71052,0.79238,0.51117,1.1499,0.70854,1.18966,0.000265007,0.000265007,0.000265007
